100.0,110.0,70.0,120.0,150.0,40.0,80.0,90.0,60.0,45.0,170.0,85.0,50.0,42.0,95.0,65.0,260.0,140.0,160.0,105.0,30.0,10.0,20.0,135.0,25.0,130.0,56.0,75.0,280.0,220.0,240.0,300.0,180.0,200.0,125.0,0.0,38.0,35.0,55.0,145.0,330.0,310.0,250.0,115.0,190.0,340.0,400.0,335.0,320.0,350.0,101.0,26.0,27.0,28.0,22.5,155.0,325.0,33.0,44.0,32.0,185.0,71.0,93.0,175.0,165.0,285.0,550.0,210.0,345.0,225.0
23,28,37,30,22,31,39,41,18,50,23,30,28,1,26,18,12,26,30,18,72,84,28,71,20,36,1,42,17,28,43,47,42,76,56,25,1,57,22,20,78,100,91,1,43,80,25,100,14,10,1,1,100,1,1,100,100,100,100,100,1,100,66,1,1,100,100,1,50,100
33,30,36,27,22,44,34,39,32,44,39,42,40,100,34,32,75,32,46,29,22,7,39,28,42,23,100,30,79,28,56,45,38,12,15,62,100,19,66,10,21,1,8,38,56,10,1,1,71,60,1,100,1,1,50,1,1,1,1,1,55,1,33,33,80,1,1,1,50,1
39,38,22,36,48,23,22,17,47,5,36,26,29,1,36,46,12,40,16,43,4,7,21,1,35,31,1,24,3,42,1,6,19,12,21,12,1,22,11,63,1,1,1,61,1,10,50,1,14,30,100,1,1,100,50,1,1,1,1,1,44,1,1,66,20,1,1,100,1,1
3,2,3,4,6,1,4,1,1,1,1,1,1,1,2,3,1,1,6,8,1,1,10,1,1,8,1,2,1,1,1,1,1,1,6,1,1,1,1,6,1,1,1,1,1,1,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
