90.0,80.0,70.0,100.0,5.0,50.0,120.0,185.0,140.0,150.0,60.0,160.0,40.0,8.0,200.0,85.0,18.0,10.0,20.0,65.0,11.0,20000.0,110.0,3.0,15.0,75.0,1500.0,6.0,1.0,35.0,550.0,154.0,2.5,2.0,12.0,4900.0,7.0,300.0,250.0,3.5,21.0,9.0,60000.0,13.0,30.0,130.0,330.0,350.0,180.0,170.0,3000.0,120000.0,30000.0,14.0,22000.0,230.0,15000.0,10000.0,45.0,81.0,82.0,83.0,84.0,86.0,87.0,3333.0,16.0,4.0,105.0,145.0,190.0,210.0,240.0,500.0,400.0,125.0,1200.0,48.0,95.0,96.0,220.0,600.0,51.0,52.0,53.0,8000.0,201.0,202.0,203.0,25.0,4500.0,88.0,37500.0,0.5,22.0,23.0,24.0,26.0,27.0,28.0,260.0,14000.0,1.3,820.0,71600.0,61210.0,53150.0,46530.0,13000.0,93.2,6.7
30,22,19,28,29,38,23,1,30,36,26,71,29,24,46,32,100,27,49,33,37,1,29,47,34,14,100,55,23,1,1,100,1,80,30,100,20,1,88,1,1,23,81,50,50,46,1,1,11,1,66,1,1,50,1,1,60,58,1,1,1,1,1,1,1,100,50,66,1,1,1,1,1,1,100,1,40,1,1,1,100,100,100,1,100,100,1,100,1,50,66,1,50,100,1,1,1,1,1,1,100,100,1,1,50,1,1,1,50,1,100
26,28,32,35,42,33,39,100,33,39,35,21,43,41,31,32,1,31,41,37,56,100,36,39,31,16,1,37,46,58,1,1,100,20,60,1,58,50,1,1,66,30,18,1,26,34,100,1,65,50,33,100,100,50,100,66,20,23,7,1,1,1,1,4,1,1,50,33,75,100,100,100,100,100,1,100,60,100,25,100,1,1,1,20,1,1,100,1,100,37,33,25,50,1,100,100,1,1,1,1,1,1,1,1,50,100,100,100,50,75,1
41,43,44,33,24,27,34,1,35,22,34,7,26,32,18,26,1,38,9,27,6,1,30,11,30,59,1,6,30,41,100,1,1,1,9,1,20,50,11,83,33,46,1,50,19,19,1,100,23,50,1,1,1,1,1,33,20,17,92,100,100,1,1,95,1,1,1,1,25,1,1,1,1,1,1,1,1,1,50,1,1,1,1,80,1,1,1,1,1,12,1,75,1,1,1,1,100,100,100,100,1,1,100,100,1,1,1,1,1,25,1
1,5,2,2,3,1,2,1,1,1,2,1,1,1,3,8,1,3,1,1,1,1,3,1,3,9,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
