0, 100, 85, 60, 105, 160, 100.0, 100 , 70.0, 75.0, 150, 150.0, 110, 200, 115.0, 55, 70, 145.0, 115, 250.0, 80.0, 240, 60 , 120, 80, 140.0, 120.0, 125, 50.0, 135.0, 110.0, 60.0, 90.0, 95.0, 100.0 , 160.0, 140, 330, 120 , 95 , 25.0, 130, 75 , 180.0, 130.0, Unknown, 125.0, 300 , 40, 300, 280,0.0,100.0,65.0,120.0,175.0,70.0,110.0,55.0,150.0,130.0,90.0,105.0,280.0,85.0,160.0,140.0,135.0,80.0,60.0,75.0,250.0,25.0,40.0,240.0,165.0,125.0,155.0,275.0,300.0,170.0,230.0,185.0, 70 , 75, 80.0 , 130 , 85.0, 70.0 , 108, 95, 25.0 , 400.0, 90, 95.0 , 105.0, 180, 175.0, 200.0, 110 , 170,180.0,115.0
26,23,2,1,4,43,31,50,48,60,29,10,19,11,1,19,36,1,1,100,22,1,1,69,12,11,40,14,100,4,31,60,70,1,42,38,14,33,72,50,37,27,1,100,20,64,44,1,1,12,1,27,21,71,28,1,33,51,1,19,21,46,10,18,11,6,25,16,12,29,53,71,21,30,15,50,20,1,100,100,40,100,40,1,60,100,1,1,44,1,66,1,1,33,1,1,33,1,1,1,100,1,1
32,27,28,61,26,51,37,35,46,30,33,21,57,66,70,19,42,50,73,1,27,100,100,19,17,30,23,14,1,4,42,40,24,50,57,61,42,66,27,50,50,18,1,1,79,36,5,50,1,87,100,32,38,1,43,16,46,35,83,21,60,40,16,81,33,86,12,39,27,20,46,15,42,40,69,1,80,66,1,1,40,1,50,100,40,1,1,57,44,1,33,100,1,66,100,23,66,100,100,100,1,75,100
37,46,65,38,40,4,29,12,5,10,33,42,23,22,30,57,14,50,26,1,50,1,1,10,62,38,30,71,1,86,22,1,5,50,1,1,42,1,1,1,12,54,92,1,1,1,38,50,1,1,1,36,36,1,27,83,19,12,16,52,17,13,70,1,49,6,33,44,58,50,1,12,35,20,15,50,1,33,1,1,20,1,10,1,1,1,100,42,11,50,1,1,1,1,1,76,1,1,1,1,1,25,1
3,2,2,1,28,1,1,1,1,1,2,25,1,1,1,4,6,1,1,1,1,1,1,1,7,19,6,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,11,1,100,1,1,3,3,28,1,1,1,1,1,7,1,1,3,1,5,1,29,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,100,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
