10.0,60.0,1.0,15.0,20.0,5.0,90.0,110.0,45.0,0.5,30.0,50.0,3.0,40.0,80.0,6.0,4.0,35.0,180.0,2.0,8.0,120.0,0.17,25.0,7.0,70.0,11.0,12.0,13.0,200.0,75.0,100.0,0.0,0.430555556,105.0,2.5,150.0,0.25,1.45,0.08,0.05,1.5,0.33,0.13,0.066,210.0,0.1,160.0,300.0,480.0,600.0,720.0,65.0,9.0,144.0,2880.0,240.0,95.0,23.0,33.0,31.0,0.083,0.07,14.0,0.3,1.6,0.6,140.0,1.2,0.1666,270.0,1.3,24.0,0.016,0.16
26,20,16,39,29,26,25,100,27,42,35,19,29,12,21,10,30,31,33,23,16,34,81,31,1,32,1,35,1,42,19,26,30,33,62,78,39,30,1,36,33,6,4,1,1,1,72,1,46,1,24,7,1,1,1,100,62,100,1,1,100,100,1,16,41,1,1,1,20,50,50,1,16,1,50
35,29,27,32,32,37,28,1,29,41,31,27,32,30,42,13,51,26,53,32,35,44,18,47,14,54,25,42,100,57,73,50,36,66,37,21,50,30,50,9,50,12,59,1,1,50,27,50,38,100,52,23,1,100,66,1,37,1,1,100,1,1,1,50,33,100,100,100,20,50,50,75,83,1,50
34,45,48,25,34,33,40,1,39,16,30,47,37,51,23,72,17,40,12,39,38,20,1,18,85,13,75,22,1,1,7,22,26,1,1,1,10,39,50,54,16,74,36,100,100,50,1,50,15,1,24,53,100,1,33,1,1,1,100,1,1,1,50,33,25,1,1,1,60,1,1,25,1,100,1
2,5,7,2,3,1,5,1,4,1,2,5,1,4,12,3,1,1,1,4,9,1,1,2,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
