0.0,2.7,1.5,0.3,2.0,1.0,2.49,2.631,2.5,4.0,2.97,2.94,2.91,2.85,2.55,2.2,2.51,2.4,1.8,2.75,0.83,2.25,2.64,2.565,2.8,0.9,6.0,3.0,1.2,2.87,2.1,2.57,2.68,2.44,2.9,2.3,2.76,2.46,2.95,2.775,2.61,2.925,0.85,2.37,2.65,2.63,2.82,0.51,2.52,10.0,2.88,2.58,2.99,2.79,2.22,1.95,2.5155,2.54,2.6,1.74,2.67,28.83,0.03,0.09,2.42,2.62,2.625,2.48,2.98,0.84,2.19,0.6,2.93,2.92,2.975,0.5,2.47,2.59,0.249,2.83,2.45,2.53,2.84,2.81,2.69,2.13,2.89,2.86,1.29,1.17,2.51555,1.25,28.4,0.4,0.8,2.985,2.955,5.0,2.04,2.29,2.96,2.38,22.95,23.375,23.8,23.97,24.14,24.31,8.84,13.94,19.04,29.24,2.56,2.78,0.33,0.57,0.75,180.0,0.905,0.744,2.24,2.5075,2.35,11.2,9.1,7.0,4.9
32,4,35,100,29,70,8,1,19,17,6,16,9,15,5,1,11,6,23,1,1,4,5,1,7,60,100,32,28,1,10,24,1,1,2,1,42,12,10,12,5,9,1,1,1,50,1,1,1,1,1,1,1,6,50,20,1,5,19,100,1,1,100,100,1,1,1,22,1,1,1,100,100,100,33,100,1,23,1,9,5,3,1,1,100,25,1,1,1,1,20,1,1,100,16,25,1,100,1,1,40,25,1,1,1,1,1,1,100,100,1,1,1,1,100,100,100,1,1,20,100,1,1,100,100,100,100
36,30,53,1,61,15,19,1,31,17,9,16,18,18,19,37,13,43,44,34,23,40,47,50,29,40,1,16,71,1,31,19,100,100,12,100,3,62,21,1,11,9,1,1,19,25,1,1,35,1,3,19,50,20,50,60,44,12,27,1,31,100,1,1,8,1,1,27,1,1,80,1,1,1,50,1,100,23,1,45,5,23,1,66,1,75,1,1,100,100,40,1,1,1,1,25,1,1,100,1,1,50,100,100,100,1,1,1,1,1,100,100,1,1,1,1,1,25,11,52,1,1,1,1,1,1,1
29,57,10,1,8,14,63,33,40,35,66,37,36,42,63,62,69,45,32,48,73,55,35,50,53,1,1,52,1,50,55,55,1,1,70,1,36,25,57,37,59,72,96,100,72,25,57,100,57,100,50,70,50,73,1,20,55,79,46,1,68,1,1,1,91,100,100,50,100,100,20,1,1,1,16,1,1,46,100,45,44,69,100,33,1,1,100,100,1,1,40,100,100,1,50,50,100,1,1,100,10,25,1,1,1,100,100,100,1,1,1,1,100,75,1,1,1,25,88,28,1,33,100,1,1,1,1
1,7,1,1,1,1,7,66,8,29,18,29,36,24,11,1,5,4,1,17,3,1,11,1,9,1,1,1,1,50,2,1,1,1,14,1,18,1,10,50,23,9,3,1,7,1,42,1,6,1,46,9,1,1,1,1,1,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,44,3,1,1,1,1,1,1,1,1,1,1,1,1,33,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,50,1,1,1,66,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
