0.0,100.0,140.0,120.0,80.0,90.0,115.0,110.0,60.0,170.0,95.0,150.0
27,26,1,20,1,8,1,100,25,50,1,1
33,32,1,40,75,75,66,1,33,50,100,100
36,38,66,40,25,16,22,1,41,1,1,1
3,2,33,1,1,1,11,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
