0.0,3.0,99.8,99.0,95.0,1000.0,7.0,1.0,5.0,200.0
27,100,100,50,11,10,1,19,22,1
33,1,1,50,1,30,50,53,5,1
36,1,1,1,88,50,50,19,72,100
3,1,1,1,1,10,1,7,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
