0.0,5.0,30.0,10.0,3.0,50.0,4.0,20.0,15.0,40.0,2.0
27,20,13,25,1,50,1,75,25,1,1
33,33,31,47,100,50,66,25,50,100,100
36,46,48,27,1,1,22,1,25,1,1
3,1,6,1,1,1,11,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
