0.0,8.0,40.0,30.0,720.0,1440.0,2880.0,5.0,70.0,2.0,10.0,15.0,60.0,80.0,1.0,20.0,3.0,120.0,25.0,0.5,4.0,45.0,9.0,240.0,390.0,540.0,50.0,90.0,110.0,0.05,0.08,0.17,17.0,65.0,16.0,75.0,12.0,312.0,600.0,7.0,150.0,95.0,0.07,6.0,35.0,180.0,1.7,100.0,18.5,11.5,28.0,1.4,14.0
26,60,21,40,1,1,100,24,15,19,28,20,42,7,13,22,33,29,14,3,10,32,43,100,42,1,19,44,100,1,1,33,1,28,1,1,40,100,16,1,19,100,1,15,62,20,1,1,14,1,14,1,50
32,40,28,39,100,100,1,39,26,32,35,30,26,22,55,31,20,49,28,77,53,38,23,1,57,100,24,42,1,50,1,66,75,14,1,1,60,1,50,10,61,1,1,69,37,80,100,1,37,50,57,100,50
37,1,42,19,1,1,1,34,36,45,32,40,30,70,27,39,38,19,50,19,36,28,15,1,1,1,52,13,1,50,100,1,25,57,87,100,1,1,33,90,19,1,1,15,1,1,1,100,48,50,28,1,1
3,1,6,1,1,1,1,1,21,1,3,9,1,1,3,6,7,2,6,1,1,1,17,1,1,1,3,1,1,1,1,1,1,1,12,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
