0.0,5.0,10.0,75.0,2.0,15.0,30.0,3.0,60.0,90.0,80.0,4.0,35.0,1.0,0.5,20.0,120.0,150.0,180.0,45.0,50.0,8.0
27,40,35,1,4,6,35,22,12,11,37,1,1,27,1,26,1,1,1,60,1,1
33,32,42,50,63,37,52,77,50,55,62,50,1,45,100,42,40,1,100,40,60,42
36,25,21,50,22,53,11,1,37,33,1,50,1,27,1,26,60,100,1,1,40,57
3,1,1,1,9,2,1,1,1,1,1,1,100,1,1,5,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
