0, 1, 7, 1 , 7 , 2 , 3, 2, 4, 5, 8, 1.5, 175, 175 , 2.3, 4 , 9, 105, 3 , 2.5, 7.5, 6, 88, 0.079, nan, 10, 95, 0.9, 22, 0.5 , 16, 6.65, 4.5, 78, 73 , 73, 99, 0.5, 85, 7.2, 8 , 0.02, 0.01, 0.04, 11, 12, 13, 71, 75, 20, 25, 9.8, 2.2, 1.1, 1.4, 6.5, nan , 9 , 35, 0.1, 0.89, 15, 39, 167 , 78 , 93, 2.26, 0.13, 0.079 , 0.2, 0.3, 0.4, 9.2, 1.125, 18, 24, 40 , 5 , 10 , 20 , 30 , 50 , 3.3, 85 , 6 , 97, 97 , 0.8, 1.2, 79, 81, 28, 0.7, 0.078, 15 , 77 , 107, 142, 284, 426, 779, 0.0722, 0.08 , 0.08
40,20,21,10,18,83,25,25,25,27,25,1,1,1,50,1,15,1,22,1,1,28,1,40,50,80,92,1,20,16,20,1,1,7,1,40,1,1,18,1,20,50,100,100,1,1,28,10,1,40,1,50,1,4,1,1,100,50,75,1,1,1,1,1,1,71,60,1,33,1,1,1,1,1,100,100,1,1,1,1,1,1,47,1,60,1,1,1,1,1,1,40,1,1,1,1,1,1,1,1,1,75,50,1
38,29,40,26,37,11,32,23,30,27,35,85,50,70,50,28,47,28,37,25,100,27,100,1,16,1,7,1,1,11,20,100,100,42,33,40,66,40,50,1,20,50,1,1,1,50,28,36,5,60,85,1,1,12,14,1,1,50,25,25,14,45,1,100,16,28,40,25,58,1,1,1,1,50,1,1,62,14,33,1,1,1,52,50,30,1,1,1,1,1,20,10,100,62,1,1,1,1,1,100,87,25,1,50
20,45,36,47,34,5,39,45,34,43,39,14,50,30,1,53,35,71,40,75,1,43,1,60,33,20,1,83,20,50,60,1,1,28,66,20,33,60,31,100,20,1,1,1,100,50,42,52,94,1,14,50,1,64,85,100,1,1,1,75,71,54,100,1,83,1,1,50,8,100,100,100,100,50,1,1,37,71,66,100,100,100,1,50,10,100,100,100,100,100,80,50,1,37,100,100,100,100,100,1,12,1,50,50
1,4,1,15,9,1,3,4,8,1,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,16,60,22,1,1,1,21,1,1,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,1,100,20,1,1,1,1,1,1,14,1,1,1,1,1,1,25,1,1,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
