0.2,0.1,0.06,0.16,1.02,0.09,0.12,0.04,0.11,0.03,0.21,1.0,0.0625,0.094,0.075,0.15,0.1243,0.0222,0.045,0.0725,0.02,0.125,0.08,0.126,0.19,0.012,4.0,0.314,0.058,0.3,0.0921,0.096,0.0405,0.05,0.24,0.057,0.0314,1.35,1.26,0.085,0.067,0.25,0.038,0.17,0.102,3.8,0.159,0.07,0.01,2.5,0.13,0.0464,0.0893,0.059,0.0489,0.0555,0.175,0.036,0.112,0.105,2.25,2.8,0.056,0.285,0.018,0.4,0.45,0.0919,1.3,0.087,0.39,0.076,1.1,0.0759,1.12,9.4,0.108,0.0256,0.122,1.2,0.0955,10.0,2.01,3.2,0.121,0.144,0.08567,0.077,0.405,0.1058,0.28,0.049,0.046,1.58,4.3,0.115,0.1003,0.8,0.18,0.1032,0.1031,1.5,0.0925,15.84,3.3,0.09408,0.08019,0.142,0.63,0.088,0.5,0.073,0.092,1.98,0.22,0.52,2.0,3.0,0.135,2.34,0.0813,2.678333333,6.25,0.055,0.104,0.14,0.066,0.59,1.13,0.48,0.0729,2.67,0.0684,0.025,0.1764,0.101,5.04,0.035,0.079,0.003,2.7,0.084,0.31,0.0831,0.0913,5.02,0.0177,0.0525,0.23,0.56,1.53,0.0756,0.1225,1.08,1.21,0.0794,0.106,0.0544,0.107,0.078,1.666666667,0.0496,1.01,0.0004,0.0006,0.000725,0.32,0.002,0.098,0.095,0.0707,0.044,0.0737,0.6,3.42,0.1256,13.5,0.318,0.127,0.36,0.9,0.729,0.165,0.725,0.0716,0.072,0.0891,0.0264,0.0038,0.81,0.0864,0.065,0.95,0.026,1.008,2.02,0.0672,6.075,6.175,1.8,2.77,0.021,1.95,3.575,0.051,2.52,2.2,2.4,0.062,2.57,0.207,0.196,0.215,0.206,0.193,0.195,0.1017,1.8125,0.1078,0.0938,2.566666667,4.64,0.1024,0.083,0.136,0.052,0.1842,0.0908,0.069,0.07068,0.0676,0.85,0.2025,0.137,0.103,0.65,0.014,0.54,0.09028,0.1425,0.64,1.96,1.4,0.0754,1.05,0.0225,0.0875,1.017,0.117,0.1475,16.07,0.0708,0.0757,0.042,0.0965,1.175,2.175,3.175,4.175,0.0576,0.048,0.181,0.155,1.84,1.022,0.1216,0.009,0.0485,0.138,40.0,0.49,8.3,0.013,0.124,0.168,0.02506,2.856,0.041,4.9,0.42,0.836,0.43,5.44,0.1143,0.081,5.0,1.1275,0.089,0.37,1.04,0.283,0.46,0.0935,3.6,0.118,3.43,2.32,0.82,0.0916,6.75,1.07,36.0,0.0588,4.45,1.06,2.06,0.185,8.0,0.0863,0.0896,100.0,3.76,0.0316,0.017,0.133,0.0929,0.26,0.0785,0.0125,0.919,0.66,0.79,0.0739,0.034,0.34,0.0324,0.00785,0.1125,0.1735,0.01134,0.148,0.0518,0.172,12.5,6.32,0.176,0.086,1.44,20.78,0.091,1.03,6.8
50,25,28,21,11,25,33,34,20,57,100,32,33,93,33,25,87,100,15,26,27,7,31,39,76,1,10,37,47,35,1,17,23,33,65,1,34,25,100,2,71,31,60,1,9,1,28,26,32,36,47,36,1,23,100,40,88,60,11,11,12,1,1,79,71,58,50,24,100,1,70,30,17,1,1,50,17,1,4,10,1,25,100,1,1,1,1,1,100,1,20,5,40,1,100,2,1,1,31,17,1,62,23,100,1,10,1,1,66,1,27,1,62,100,28,66,62,100,17,1,20,1,1,9,18,27,1,1,1,62,1,1,1,65,1,1,1,92,50,100,1,57,1,38,1,1,8,1,1,1,1,1,1,1,50,1,50,18,31,1,1,1,1,1,25,1,86,1,1,1,1,1,1,50,100,40,100,1,66,75,26,50,1,1,1,1,1,1,100,57,1,37,1,14,100,1,50,1,1,7,1,55,1,1,33,100,100,100,1,1,100,28,100,100,100,100,1,1,1,30,100,1,14,33,1,23,1,1,69,100,1,1,66,80,1,20,1,50,1,1,1,1,1,1,1,21,1,1,1,1,1,1,18,80,1,100,100,100,100,1,100,1,1,25,1,1,1,69,1,50,50,1,1,100,100,1,1,1,1,100,100,20,1,1,55,1,1,30,1,1,66,100,33,1,1,1,100,66,1,1,63,1,1,1,1,1,50,25,1,20,1,1,1,57,33,100,100,100,1,100,1,50,1,66,1,100,100,50,1,1,1,1,1,50,1,1,85,1,1,1,1,1
28,35,37,27,41,32,30,37,37,35,1,31,35,6,39,50,12,1,52,44,48,30,22,22,15,16,31,62,17,42,100,24,53,35,26,61,35,75,1,56,28,27,20,1,26,100,21,36,33,54,36,31,50,20,1,60,11,40,17,31,12,20,33,20,14,22,46,37,1,100,20,30,56,100,1,50,20,42,50,42,1,50,1,33,1,1,1,70,1,36,80,13,30,100,1,21,1,40,34,82,1,37,1,1,1,31,100,100,33,25,29,1,14,1,1,33,31,1,62,66,70,1,1,38,51,32,3,1,33,12,1,50,1,31,62,1,100,7,50,1,100,1,100,33,33,1,43,90,100,100,100,60,66,40,50,66,1,37,42,100,100,1,1,50,50,66,13,25,1,1,20,21,10,1,1,59,1,1,33,25,53,50,54,33,25,71,1,100,1,14,50,29,100,71,1,50,50,100,100,64,100,33,1,100,33,1,1,1,50,1,1,57,1,1,1,1,9,100,100,30,1,100,16,33,10,30,50,16,30,1,1,25,33,20,1,40,20,25,33,1,100,1,100,12,75,53,100,40,1,11,100,16,59,20,1,1,1,1,1,50,1,1,16,12,33,1,66,8,100,50,50,100,100,1,1,1,100,50,100,1,1,80,1,100,37,100,1,30,1,33,33,1,1,100,75,100,1,33,10,50,36,100,1,1,1,1,50,50,1,1,100,50,100,42,66,1,1,1,1,1,100,50,1,16,66,1,1,1,100,16,1,1,33,50,100,1,14,100,1,1,1,100
18,36,31,44,46,38,32,26,39,7,1,33,31,1,24,20,1,1,31,27,24,60,38,38,7,83,36,1,34,19,1,48,23,30,8,30,28,1,1,35,1,37,20,75,61,1,44,29,32,9,16,31,50,56,1,1,1,1,71,55,75,80,66,1,14,17,3,37,1,1,8,40,17,1,100,1,44,57,45,47,100,25,1,66,100,100,50,30,1,63,1,50,30,1,1,76,1,40,25,1,95,1,76,1,100,29,1,1,1,75,34,50,22,1,71,1,6,1,20,33,10,100,100,50,29,39,96,100,33,12,100,50,100,3,37,87,1,1,1,1,1,42,1,28,66,100,48,9,1,1,1,40,33,60,1,33,50,43,26,1,1,100,100,50,25,33,1,75,100,1,79,42,60,50,1,1,1,100,1,1,20,1,45,66,50,28,100,1,1,28,50,29,1,14,1,50,1,1,1,28,1,11,100,1,1,1,1,1,50,100,1,14,1,1,1,1,72,1,1,40,1,1,64,33,90,46,50,66,1,1,50,75,1,1,100,20,80,25,66,80,1,100,1,87,25,25,1,60,100,88,1,83,14,1,100,1,1,1,1,50,1,100,83,62,66,100,33,21,1,1,1,1,1,1,1,100,1,50,1,1,1,1,1,1,6,1,100,30,70,66,1,1,66,1,25,1,1,1,40,50,1,1,100,100,100,100,1,25,100,40,1,50,1,1,1,1,1,1,66,1,1,1,30,16,33,1,1,50,1,83,100,71,66,1,1,100,1,1,100,100,100,1
3,3,1,6,1,2,3,2,2,1,1,2,1,1,2,3,1,1,1,1,1,1,7,1,1,1,10,1,1,2,1,9,1,1,1,7,1,1,1,5,1,3,1,25,2,1,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,17,1,1,1,1,1,1,1,1,1,50,1,1,1,1,31,1,1,1,1,100,20,9,1,4,1,1,1,1,29,1,1,1,1,8,50,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,33,12,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,35,30,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,18,1,1,1,1,1,4,1,1,1,1,16,1,1,50,1,1,1,1,20,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,7,30,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,40,1,1,1,1,1,1,1,1,33,1,1,1,70,1,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
