0.0,19.0,7.0,35.0,50.0,40.0,80.0,70.0,100.0,20.0,10.0,30.0,60.0,9.5,5.0,200.0,1000.0,65.0,85.0,115.0
26,100,90,78,1,1,1,1,100,34,1,1,1,62,31,1,100,100,100,100
33,1,10,21,100,85,1,100,1,39,1,75,1,37,68,100,1,1,1,1
36,1,1,1,1,14,100,1,1,26,100,25,100,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
