0.0,0.6,1.0,2.0,0.5,0.25,0.75,0.975,0.95,0.925,0.9,0.85,0.8,0.7,0.94,0.91,3.0,0.3,0.1,0.99,0.97,0.93,0.01,0.02,0.03,0.05,0.15,0.35,0.96,0.125,0.375,0.625,0.875,0.2,0.4,0.19,0.255,0.6255,0.98,0.92,9.0,0.33,1.2,1.8,2.4,3.6,1e-05,0.0001,0.001,0.005
26,13,21,62,31,35,76,100,41,1,58,33,45,71,1,1,1,23,64,14,16,1,75,66,50,72,62,50,25,100,100,50,100,60,14,100,50,1,1,1,1,1,100,1,1,100,1,1,50,100
33,31,12,37,38,54,23,1,41,100,11,1,36,28,50,100,1,61,35,85,50,100,25,33,25,18,37,50,50,1,1,50,1,40,50,1,50,100,50,1,1,100,1,100,100,1,50,50,50,1
36,55,50,1,28,9,1,1,16,1,17,66,18,1,50,1,100,15,1,1,1,1,1,1,25,9,1,1,25,1,1,1,1,1,35,1,1,1,50,100,100,1,1,1,1,1,50,50,1,1
3,1,15,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
