3.0,0.3,1.5,2.7,1.0,2.0,0.51,0.369,0.5,0.03,0.06,0.09,0.15,0.45,9.0,0.8,0.49,4.0,0.6,1.2,0.25,10.0,13.0,1.7,0.551,0.75,0.36,16.0,0.285,0.2,2.1,6.0,1.8,7.0,0.13,0.9,0.43,0.32,0.56,0.1,121.0,181.0,0.7,0.24,0.54,0.075,0.225,22.0,28.0,34.0,0.39,0.4,0.63,0.17,0.35,0.37,0.0,0.18,2.49,0.48,0.12,0.42,0.01,0.21,0.78,1.05,0.4845,0.46,19.0,11.0,25.0,31.0,1.16,0.33,2.17,2.97,2.91,0.05,3.2,0.38,0.375,91.0,61.0,0.02,0.16,5.0,12.0,15.0,0.81,5.9,5.8,5.7,5.6,5.5,5.4,2.4,0.033,0.066,0.083,0.025,2.5,0.53,0.52,0.41,0.47,0.19,0.31,2.51,0.87,0.11,0.14,1.71,1.83,2.55,3.33,2.6,2.2,0.015,0.045,2.33,0.96,0.27,0.04,0.07,0.44,14.0,17.0,0.22,2.67,2.43,2.25,124.0,184.0,0.095,0.256,2.94,0.451,0.65,0.55,4.8,3.9
30,3,36,100,29,88,8,1,19,4,21,16,11,5,99,1,15,82,6,20,1,80,54,1,50,4,5,37,1,7,66,100,28,95,1,8,24,1,1,2,1,1,1,42,12,8,12,60,30,1,10,19,1,3,1,50,1,1,1,1,1,5,1,6,50,20,10,5,71,100,100,33,100,1,1,100,100,11,33,1,1,1,1,1,1,100,30,100,1,100,100,100,100,100,100,100,100,100,100,33,100,1,1,42,3,1,31,1,25,1,1,1,1,1,50,100,100,25,1,1,1,1,40,1,1,1,1,1,100,100,100,1,1,1,20,100,1,1,3,100,100
36,27,52,1,60,9,19,1,32,9,24,16,13,19,1,37,15,6,43,39,38,14,43,50,50,39,47,40,50,30,33,1,71,1,1,32,19,100,100,12,72,1,100,3,62,8,1,30,30,25,9,25,1,24,19,25,8,1,1,31,3,25,50,20,50,60,42,10,28,1,1,66,1,31,100,1,1,22,66,1,1,1,1,1,1,1,70,1,80,1,1,1,1,1,1,1,1,1,1,50,1,100,66,28,23,66,40,1,75,1,1,100,100,33,50,1,1,25,1,100,100,1,1,1,1,100,100,1,1,1,1,1,1,11,52,1,1,1,23,1,1
31,61,11,1,10,2,63,33,39,67,33,33,53,63,1,62,65,8,45,39,46,4,1,50,1,56,36,21,50,46,1,1,1,5,50,56,55,1,1,69,27,100,1,36,25,75,37,10,40,75,60,48,100,68,72,25,91,57,100,63,50,61,50,73,1,20,47,81,1,1,1,1,1,68,1,1,1,55,1,100,100,100,100,100,100,1,1,1,20,1,1,1,1,1,1,1,1,1,1,16,1,1,33,28,69,33,28,83,1,100,100,1,1,66,1,1,1,50,100,1,1,100,10,100,100,1,1,83,1,1,1,100,100,88,28,1,60,100,56,1,1
1,7,1,1,1,1,7,66,9,18,21,33,20,11,1,1,3,2,4,1,15,1,1,1,1,1,11,1,1,15,1,1,1,1,50,2,1,1,1,15,1,1,1,18,1,8,50,1,1,1,20,6,1,3,7,1,1,42,1,5,46,7,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,16,1,1,1,1,1,1,1,1,40,1,16,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
