0.0,0.788,0.827,0.4,2.0,0.99,0.98,0.97,0.1,0.15,0.79,0.05,0.2,0.25,0.3,0.57,0.9,0.78,0.81,0.75,0.85,3.0,0.17,0.67,0.8,0.94,0.975,0.95,0.925,0.12,4.0,0.855,0.765,0.7,0.475,0.5,0.4875,0.45,0.83,0.06,0.76,0.66,0.6,39.0,1.77,0.28,0.8075,0.747,6.0,8.0,10.0,0.025,1.0,0.92,0.69,0.77,0.725,0.785,1.8,1.6,1.2,0.86,0.09,0.775,0.33,0.04,0.54,0.71,0.35,0.03,0.13,0.7885,0.65,0.87,0.56,0.88,1.5,0.16,0.43,0.875,0.72,0.46,0.08,59.0,29.0,19.0,9.0,5.0,0.7917,0.945,0.55,0.27,0.24,34.0,0.68,0.39,0.38,0.37,0.93,0.19,0.18,0.84,0.82,83.0,0.664,0.91,1.4,0.915,0.255,0.667,0.29,0.34,0.51,0.73,0.74,0.49,0.795,0.02,0.96,0.36,0.58,0.89,99.5,0.8265,0.758,60.0,40.0,0.666,0.733,0.8668,0.07,0.985,0.135
32,20,1,8,84,44,9,33,3,7,6,9,9,40,21,1,21,4,7,18,17,56,12,37,10,16,1,8,1,1,45,1,11,7,1,28,1,20,18,25,14,63,12,1,1,33,4,1,60,16,1,1,43,16,1,4,1,1,1,1,50,1,1,1,22,1,1,1,1,1,1,8,10,1,40,1,1,2,25,1,1,1,1,1,1,1,1,66,33,1,100,1,1,100,1,1,38,80,22,1,1,1,1,11,1,12,100,1,1,1,1,1,1,1,26,1,25,1,1,12,1,1,100,1,1,1,1,1,1,50,1,100,1
37,30,1,24,13,1,1,33,16,20,18,7,24,19,14,33,24,24,17,25,23,41,23,50,32,16,1,18,1,1,37,50,11,21,1,43,1,60,29,50,25,36,53,62,1,33,20,20,30,33,25,1,23,16,1,9,1,50,100,100,50,6,1,1,27,1,1,1,1,1,12,28,20,28,30,66,100,35,25,2,16,18,4,1,1,1,66,33,45,11,1,1,1,1,50,1,57,1,22,42,100,1,1,11,100,1,1,28,1,1,1,1,1,1,10,25,1,50,1,62,20,55,1,1,1,16,1,35,50,1,1,1,1
28,40,33,67,2,55,54,33,57,62,65,48,57,37,57,66,47,62,62,51,43,2,60,12,46,66,100,68,100,66,17,50,77,56,100,21,100,20,48,25,39,1,33,37,100,33,70,50,10,50,75,66,28,50,100,85,100,25,1,1,1,62,1,62,33,100,55,88,100,33,60,59,50,57,30,22,1,47,50,95,66,45,13,100,100,100,33,1,20,88,1,66,100,1,50,100,4,20,11,14,1,70,81,77,1,37,1,71,100,100,50,100,100,100,63,75,75,50,100,25,70,22,1,100,100,50,100,64,50,50,50,1,91
1,10,66,1,1,1,36,1,21,9,9,35,8,2,7,1,6,10,12,4,16,1,3,1,10,1,1,4,1,33,1,1,1,13,1,6,1,1,3,1,20,1,1,1,1,1,4,30,1,1,1,33,3,16,1,1,1,25,1,1,1,31,100,37,16,1,44,11,1,66,28,3,20,14,1,11,1,14,1,2,16,36,81,1,1,1,1,1,1,1,1,33,1,1,1,1,1,1,44,42,1,29,18,1,1,50,1,1,1,1,50,1,1,1,1,1,1,1,1,1,10,22,1,1,1,33,1,1,1,1,50,1,8
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
